,species,identifier,primary,mutant,heterologous_expression,KC,KC_SD,vC,vC_SD,S,S_SD,KO,KO_SD,vO,vO_95CI_low,vO_95CI_high,kon_C,kon_O_95CI_low,kon_O_95CI_high,kon_O,kon_O_95CI_low,kon_O_95CI_high,KRuBP,KRuBP_SD,temp_C,pH,isoform,taxonomy,note,short_ref,pmid_or_doi,citation
330,Panicum phragmitoides,phragmitoides_kin_orr,1,0,False,25.1,7.5,2.8,0.3,107,1.3,687,522,0.721,-0.365,2.58,0.112,0.000629,0.00257,0.00105,0.000629,0.00257,,,25,8,1,C4 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
331,Phaseolus carteri,carteri_kin_orr,1,0,False,14.2,1.9,3.2,0.1,84.5,2.1,422,63,1.12,0.741,1.7,0.225,0.00209,0.00362,0.00267,0.00209,0.00362,,,25,8,1,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
332,Phaseolus coccineus,coccineus_kin_orr,1,0,False,15.6,2.6,3.9,0.2,104,2.9,491,97,1.18,0.665,1.99,0.25,0.00177,0.00363,0.00241,0.00177,0.00363,,,25,8,1,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
333,Phaseolus lunatus,lunatus_kin_orr,1,0,False,17.3,1.1,3.2,0.1,101,0.7,537,78,0.979,0.686,1.32,0.185,0.0016,0.00212,0.00183,0.0016,0.00212,,,25,8,1,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
334,Phaseolus vulgaris,phaseolus_vulgaris_kin_orr,1,0,False,20.2,4.1,3.5,0.2,105,2.2,463,102,0.762,0.39,1.44,0.173,0.00115,0.00279,0.00164,0.00115,0.00279,,,25,8,1,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
335,Phaseolus vulgaris ,phaseolus_vulgaris_kin_hermida_carrera,1,0,False,7.8,0.3,1.7,0.2,99.7,2.7,,,,,,,,,,,,,,25,8,1,C3 plants,"KC and kcat at pH 8, S and pH 8.2",Hermida-Carrera 2016,27329223,"Hermida-Carrera C, Kapralov MV, Galmes J. 2016. Rubisco catalytic properties and temperature response in crops. Plant Physiology, doi: 10.1104/pp.16.01846."
336,Poa palustris,poa_palustris_kin_orr,1,0,False,19.2,1.3,4.2,0.1,112,2.1,562,49,1.1,0.87,1.38,0.218,0.00171,0.00229,0.00196,0.00171,0.00229,,,25,8,1,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
337,Puccinellia distans,distans_kin_orr,1,0,False,22.2,2.4,5.4,0.2,104,1.9,488,61,1.14,0.801,1.6,0.243,0.0019,0.00301,0.00233,0.0019,0.00301,,,25,8,1,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
338,Puccinellia lemmonii,lemmonii_kin_orr,1,0,False,28.1,5.9,5.2,0.4,102,1,1117,853,2.04,-1.07,6.09,0.186,0.00125,0.00317,0.00183,0.00125,0.00317,,,25,8,1,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
339,Puccinellia maritima,maritima_kin_orr,1,0,False,20.8,2.4,5.4,0.2,106,1.9,676,205,1.67,0.668,2.86,0.26,0.00197,0.00323,0.00246,0.00197,0.00323,,,25,8,1,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
340,Puccinellia nuttalliana,nuttalliana_kin_orr,1,0,False,25.2,1.8,4,0.1,105,1.1,717,138,1.08,0.658,1.54,0.159,0.00131,0.00177,0.00151,0.00131,0.00177,,,25,8,1,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
341,Pueraria montana,montana_kin_orr,1,0,False,20.9,1.6,2.7,0.1,101,1,679,138,0.874,0.508,1.27,0.129,0.00109,0.00154,0.00129,0.00109,0.00154,,,25,8,1,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
342,Saccharum officinarum,officinarum_kin_hermida_carrera,1,0,False,26.3,4,3.9,0.3,82.2,1.8,,,,,,,,,,,,,,25,8,1,C4 plants,"sugarcane, KC and kcat at pH 8, S and pH 8.2",Hermida-Carrera 2016,27329223,"Hermida-Carrera C, Kapralov MV, Galmes J. 2016. Rubisco catalytic properties and temperature response in crops. Plant Physiology, doi: 10.1104/pp.16.01846."
343,Solanum lycopersicum,lycopersicum_kin_hermida_carrera,1,0,False,9.7,0.4,2.3,0.2,92.4,2.3,,,,,,,,,,,,,,25,8,1,C3 plants,"KC and kcat at pH 8, S and pH 8.2",Hermida-Carrera 2016,27329223,"Hermida-Carrera C, Kapralov MV, Galmes J. 2016. Rubisco catalytic properties and temperature response in crops. Plant Physiology, doi: 10.1104/pp.16.01846."
344,Solanum tuberosum,tuberosum_kin_hermida_carrera,1,0,False,9.6,0.2,2,0.3,95.4,2.3,,,,,,,,,,,,,,25,8,1,C3 plants,"KC and kcat at pH 8, S and pH 8.2",Hermida-Carrera 2016,27329223,"Hermida-Carrera C, Kapralov MV, Galmes J. 2016. Rubisco catalytic properties and temperature response in crops. Plant Physiology, doi: 10.1104/pp.16.01846."
345,Sphenostylis stenocarpa,stenocarpa_kin_orr,1,0,False,17.4,1.5,2.8,0.1,93.6,3.4,574,123,0.988,0.557,1.49,0.161,0.00142,0.00213,0.00172,0.00142,0.00213,,,25,8,1,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
346,Spinacia oleracea,oleracea_kin_hermida_carrera,1,0,False,14.1,0.8,2.4,0.1,97,1.2,,,,,,,,,,,,,,25,8,1,C3 plants,"KC and kcat at pH 8, S and pH 8.2",Hermida-Carrera 2016,27329223,"Hermida-Carrera C, Kapralov MV, Galmes J. 2016. Rubisco catalytic properties and temperature response in crops. Plant Physiology, doi: 10.1104/pp.16.01846."
347,Spinacia oleracea,oleracea_table2_jordan84,1,0,False,11,0.959,,,83.4,3.0464302865562662,500,65.4,,,,,,,,,,,,25,8.35,1,C3 plants,Table 2,Jordan 1984,https://doi.org/10.1007/BF00398724,"Jordan DB, Ogren WL. 1984. The CO2/O2 specificity of ribulose 1,5-bisphosphate carboxylase/oxygenase. Dependence on ribulosebisphosphate concentration, pH and temperature. Planta 161, 308–313."
348,Synechococcus sp. PCC 7002,7002_rate_andrews1985,1,0,False,185,14,11.6,0.68,67.2,2,,,,,,,,,,,,69.6,8.1,25,7.8,1,Cyanobacteria,vC calculated total activity in ref assuming all sites activated,Andrews 1985,3921534,"Andrews TJ, Lorimer GH (1985) Catalytic properties of a hybrid between cyanobacterial large subunits and higher plant small subunits of ribulose bisphosphate carboxylase-oxygenase. J Biol Chem. Apr 25; 260(8):4632-6."
349,T. elongatus,elongatus_rate_gubernator,1,0,E. coli,54.3,8.81,2.65,0.155,82.1,7.3,841,541,0.506,-0.136,1.32,0.0489,0.000422,0.000931,0.000599,0.000422,0.000931,20.4,1.22,25,8,1,Cyanobacteria,"Unclear what temperature this is at from the paper. Assumed 25 because the values in Table 2 match the 25 C point on Figure 3.  Vo calculated from ratio given in paper, table 2 gives 82.1",Gubernator 2008,17922215,"Gubernator, B., Bartoszewski, R., Kroliczewski, J., Wildner, G., and Szczepaniak, A. (2008). Ribulose-1,5-bisphosphate carboxylase/oxygenase from thermophilic cyanobacterium Thermosynechococcus elongatus. Photosynth. Res. 95, 101–109."
350,Tephrosia candida,candida_kin_orr,1,0,False,15.9,3.8,2.2,0.2,97.8,2.5,481,256,0.676,-0.0328,1.78,0.138,0.000913,0.00273,0.00141,0.000913,0.00273,,,25,8,1,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
351,Tephrosia purpurea,purpurea_kin_orr,1,0,False,12.4,1.4,2.2,0.1,103,1.1,333,72,0.574,0.323,0.889,0.178,0.00139,0.00225,0.00173,0.00139,0.00225,,,25,8,1,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
352,Tephrosia rhodesica,rhodesica_kin_orr,1,0,False,13.7,1.2,2.2,0.1,91.6,3.3,565,133,0.984,0.524,1.54,0.161,0.00144,0.00219,0.00176,0.00144,0.00219,,,25,8,1,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
353,Triticum aestivum,aestivum_kin_hermida_carrera,1,0,False,11.3,0.4,2.2,0.2,100,1.8,,,,,,,,,,,,,,25,8,1,C3 plants,"KC and kcat at pH 8, S and pH 8.2",Hermida-Carrera 2016,27329223,"Hermida-Carrera C, Kapralov MV, Galmes J. 2016. Rubisco catalytic properties and temperature response in crops. Plant Physiology, doi: 10.1104/pp.16.01846."
354,Triticum aestivum,aestivum_kin_orr,1,0,False,20.1,1.7,4.9,0.1,100,1.1,658,84,1.61,1.14,2.14,0.244,0.00207,0.00294,0.00244,0.00207,0.00294,,,25,8,1,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
355,Triticum baeoticum,baeoticum_kin_orr,1,0,False,19.7,4.5,3.8,0.3,96,2.5,905,297,1.82,0.612,4.01,0.193,0.00133,0.00368,0.00201,0.00133,0.00368,,,25,8,1,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
356,Zea mays cv. Carella,mays_carella_kin_hermida_carrera,1,0,False,31.6,1.8,4.1,0.6,87.3,1.4,,,,,,,,,,,,,,25,8,1,C4 plants,"KC and kcat at pH 8, S and pH 8.2",Hermida-Carrera 2016,27329223,"Hermida-Carrera C, Kapralov MV, Galmes J. 2016. Rubisco catalytic properties and temperature response in crops. Plant Physiology, doi: 10.1104/pp.16.01846."
